"titel";"titel_key";"online_tijdsaspect";"categorie";"externe_id";"datum";"adres";"postcode";"omschrijving";"locatie";"website";"plaats";"textafbeelding";"email";"telefoonnummer";"custom_color";"custom_icon";"custom_extra_title";"iconen_id";"date_created";"date_modified";"datum_eind";"type";"internet";"e-mail";"fax";"telefoonnummer_2";"plaats_2";"postcode_2";"huisnummer";"straat";"instelling"
"Mobiel Service Centrum (MSC)";"mobiel_service_centrum_msc";"1";"237";"";"0000-00-00 00:00:00";"Hekelveld 8";"1012SN";"";"POINT(4.89529795202281 52.3777660593735)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:56";"2016-08-30 15:59:56";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Mobiel Service Centrum (MSC)";"Hekelveld";"8";"1012SN";"Amsterdam";"020 636 1065";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"Mobiel Team HVO-Querido";"mobiel_team_hvo_querido";"1";"237";"";"0000-00-00 00:00:00";"Poeldijkstraat 10";"1059VM";"";"POINT(4.8436127325802 52.3505857944772)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:56";"2016-08-30 15:59:56";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Mobiel Team HVO-Querido";"Poeldijkstraat";"10";"1059VM";"Amsterdam";"06 5578 0532";"";"http://www.hvoquerido.nl";""
"Opvang Poeldijkstraat";"opvang_poeldijkstraat";"1";"237";"";"0000-00-00 00:00:00";"Poeldijkstraat 10";"1059VM";"";"POINT(4.8436127325802 52.3505857944772)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:56";"2016-08-30 15:59:56";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Opvang Poeldijkstraat";"Poeldijkstraat";"10";"1059VM";"Amsterdam";"020 512 7700";"";"http://www.hvoquerido.nl";""
"Opvangvoorziening Anton de Komplein";"opvangvoorziening_anton_de_komplein";"1";"237";"";"0000-00-00 00:00:00";"Anton de Komplein 232";"1102DR";"";"POINT(4.95835399432476 52.314216839017)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:56";"2016-08-30 15:59:56";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Opvangvoorziening Anton de Komplein";"Anton de Komplein";"232";"1102DR";"Amsterdam";"020 565 0390";"";"http://www.hvoquerido.nl";""
"Passantenhotel Boerhaave";"passantenhotel_boerhaave";"1";"237";"";"0000-00-00 00:00:00";"Tweede Boerhaavestraat 80";"1091AR";"";"POINT(4.91548940374903 52.3599986360393)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Passantenhotel Boerhaave";"Tweede Boerhaavestraat";"80";"1091AR";"Amsterdam";"020 465 1962";"";"http://www.hvoquerido.nl";""
"Protestantse Diaconie Amsterdam";"protestantse_diaconie_amsterdam";"1";"237";"";"0000-00-00 00:00:00";"Nieuwe Herengracht 18";"1018DP";"";"POINT(4.90376781934102 52.366009072994)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Protestantse Diaconie Amsterdam";"Nieuwe Herengracht";"18";"1018DP";"Amsterdam";"020 535 3034";"";"http://www.diaconie.org";"info@diaconie.org"
"Restart Intensieve Woonbegeleiding";"restart_intensieve_woonbegeleiding";"1";"237";"";"0000-00-00 00:00:00";"Rode Kruisstraat 24b";"1025KN";"";"POINT(4.92874546109189 52.3955340707404)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Restart Intensieve Woonbegeleiding";"Rode Kruisstraat";"24b";"1025KN";"Amsterdam";"020 344 6610";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
"RIBW / MO Jan Rebelstraat";"ribw_mo_jan_rebelstraat";"1";"237";"";"0000-00-00 00:00:00";"Jan Rebelstraat 20";"1069CC";"";"POINT(4.78585944911415 52.3617438570837)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"RIBW / MO Jan Rebelstraat";"Jan Rebelstraat";"20";"1069CC";"Amsterdam";"020 445 4100";"";"http://www.volksbond.nl";"fay.benzoni@volksbond.nl"
"Robert Koch Wonen";"robert_koch_wonen";"1";"237";"";"0000-00-00 00:00:00";"Robert Kochplantsoen 35";"1097GG";"";"POINT(4.93850608365938 52.3471188334591)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Robert Koch Wonen";"Robert Kochplantsoen";"35";"1097GG";"Amsterdam";"020 646 6400";"";"http://www.hvoquerido.nl/";""
"Schakel, inloop / maaltijden / kringloop";"schakel_inloop_maaltijden_kringloop";"1";"237";"";"0000-00-00 00:00:00";"De Wittenkade 109";"1052AG";"";"POINT(4.87704358256216 52.3828297892819)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Schakel, inloop / maaltijden / kringloop";"De Wittenkade";"109";"1052AG";"Amsterdam";"020 684 2356";"";"http://www.kerkkoepelwest.nl";""
"Screeningsbalie Bijzondere Doelgroepen";"screeningsbalie_bijzondere_doelgroepen_1";"1";"237";"";"0000-00-00 00:00:00";"Jan van Galenstraat 323";"1056CH";"";"POINT(4.84422096785895 52.3717031714839)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Screeningsbalie Bijzondere Doelgroepen";"Jan van Galenstraat";"323";"1056CH";"Amsterdam";"020 252 6000";"";"https://www.amsterdam.nl/zorg-welzijn/amsterdam-biedt/";""
"Stichting Kruispost";"stichting_kruispost";"1";"237";"";"0000-00-00 00:00:00";"Oudezijds Voorburgwal 129";"1012EP";"";"POINT(4.89736002794718 52.3727812920455)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Stichting Kruispost";"Oudezijds Voorburgwal";"129";"1012EP";"Amsterdam";"020 624 9031";"020 428 8330";"http://www.kruispost.nl";"kruispost@oudezijds100.nl"
"Stichting Stoelenproject";"stichting_stoelenproject";"1";"237";"";"0000-00-00 00:00:00";"Marnixstraat 248";"1016TL";"";"POINT(4.87672205863238 52.3699310371543)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:57";"2016-08-30 15:59:57";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Stichting Stoelenproject";"Marnixstraat";"248";"1016TL";"Amsterdam";"020 494 5727";"020 494 5722";"http://www.stoelenproject.nl";"info@stoelenproject.nl"
"Stichting Streetcornerwork Amsterdam";"stichting_streetcornerwork_amsterdam";"1";"237";"";"0000-00-00 00:00:00";"Herengracht 352";"1016CG";"";"POINT(4.88639513387154 52.3689297721381)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Stichting Streetcornerwork Amsterdam";"Herengracht";"352";"1016CG";"Amsterdam";"020 623 9767";"";"http://www.streetcornerwork.eu";"info@streetcornerwork.eu"
"Stichting Volksbond Amsterdam";"stichting_volksbond_amsterdam";"1";"237";"";"0000-00-00 00:00:00";"Eerste Ringdijkstraat 5B";"1097BC";"";"POINT(4.91891283765617 52.3501253517124)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Stichting Volksbond Amsterdam";"Eerste Ringdijkstraat";"5B";"1097BC";"Amsterdam";"088 445 4000";"";"http://www.volksbond.nl";"info@volksbond.nl"
"Stichting Z";"stichting_z";"1";"237";"";"0000-00-00 00:00:00";"Tweede Oosterparkstraat 72";"1091JG";"";"POINT(4.91549606200291 52.3566102914183)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Stichting Z";"Tweede Oosterparkstraat";"72";"1091JG";"Amsterdam";"020 623 6202";"";"http://www.z-krant.nl";"info@z-krant.nl"
"Streetcornerwork Team Centrum";"streetcornerwork_team_centrum";"1";"237";"";"0000-00-00 00:00:00";"Nieuwezijds Voorburgwal 38";"1012SB";"";"POINT(4.89410413753967 52.3768263734079)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Streetcornerwork Team Centrum";"Nieuwezijds Voorburgwal";"38";"1012SB";"Amsterdam";"020 627 0144";"";"http://www.streetcornerwork.eu";""
"Woonbegeleiding De Eerste Helmer";"woonbegeleiding_de_eerste_helmer";"1";"237";"";"0000-00-00 00:00:00";"Eerste Helmersstraat 40";"1054DJ";"";"POINT(4.8759558811229 52.3637891119)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Woonbegeleiding De Eerste Helmer";"Eerste Helmersstraat";"40";"1054DJ";"Amsterdam";"088 445 4140";"";"http://www.volksbond.nl";"nicky.van.den.bosch@volksbond.nl"
"Woonhotel De Nassau";"woonhotel_de_nassau";"1";"237";"";"0000-00-00 00:00:00";"Eerste Nassaustraat 30a";"1052BH";"";"POINT(4.8790033102617 52.3835662189401)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Woonhotel De Nassau";"Eerste Nassaustraat";"30a";"1052BH";"Amsterdam";"020 486 4855";"";"http://www.hvoquerido.nl";""
"Woonhotel Ruysdael";"woonhotel_ruysdael";"1";"237";"";"0000-00-00 00:00:00";"Ruysdaelkade 225";"1072AW";"";"POINT(4.88693947191758 52.3506060799724)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Woonhotel Ruysdael";"Ruysdaelkade";"225";"1072AW";"Amsterdam";"020 675 8106";"";"http://www.hvoquerido.nl/";""
"Woonvoorziening De Veste";"woonvoorziening_de_veste";"1";"237";"";"0000-00-00 00:00:00";"Poeldijkstraat 10";"1059VM";"";"POINT(4.8436127325802 52.3505857944772)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Woonvoorziening De Veste";"Poeldijkstraat";"10";"1059VM";"Amsterdam";"020 512 7700";"";"http://www.hvoquerido.nl";""
"Woonvoorziening Noorderburgh";"woonvoorziening_noorderburgh";"1";"237";"";"0000-00-00 00:00:00";"Heggerankweg 53";"1032JB";"";"POINT(4.91266588675667 52.3961448188178)";"";"Amsterdam";"";"";"";"";"";"";"0";"2016-08-30 15:59:58";"2016-08-30 15:59:58";"0000-00-00 00:00:00";"Opvang dak- en thuislozen";"Woonvoorziening Noorderburgh";"Heggerankweg";"53";"1032JB";"Amsterdam";"020 494 2810";"";"http://www.legerdesheils.nl/goodwillcentra-amsterdam/";""
